0	0	0.8	0	0.2	1
1	0	0.8	0	0.2	1
2	0	0.8	0	0.2	1
3	0	0.8	0	0.2	1
4	0	0.79	0.01	0.2	1
5	0	0.78	0.02	0.2	1
6	0	0.78	0.02	0.2	1
7	0	0.78	0.02	0.2	1
8	0	0.78	0.02	0.2	1
9	0	0.78	0.02	0.2	1
10	0	0.78	0.02	0.2	1
11	0	0.78	0.02	0.2	1
12	0	0.77	0.03	0.2	1
13	0	0.77	0.03	0.2	1
14	0	0.77	0.03	0.2	1
15	0	0.77	0.03	0.2	1
16	0	0.77	0.03	0.2	1
17	0	0.77	0.03	0.2	1
18	0	0.77	0.03	0.2	1
19	0	0.77	0.03	0.2	1
20	0	0.77	0.03	0.2	1
21	0	0.77	0.03	0.2	1
22	0	0.77	0.03	0.2	1
23	0	0.77	0.03	0.2	1
24	0	0.77	0.03	0.2	1
25	0	0.76	0.04	0.2	1
26	0	0.76	0.04	0.2	1
27	0	0.76	0.04	0.2	1
28	0	0.76	0.04	0.2	1
29	0	0.77	0.03	0.2	1
30	0	0.76	0.04	0.2	1
31	0	0.75	0.05	0.2	1
32	0	0.75	0.05	0.2	1
33	0	0.75	0.05	0.2	1
34	0	0.75	0.05	0.2	1
35	0	0.75	0.05	0.2	1
36	0	0.75	0.05	0.2	1
37	0	0.75	0.05	0.2	1
38	0	0.75	0.05	0.2	1
39	0	0.75	0.05	0.2	1
40	0	0.75	0.05	0.2	1
41	0	0.75	0.05	0.2	1
42	0	0.74	0.06	0.2	1
43	0	0.75	0.05	0.2	1
44	0	0.75	0.05	0.2	1
45	0	0.75	0.05	0.2	1
46	0	0.75	0.05	0.2	1
47	0	0.75	0.05	0.2	1
48	0	0.75	0.05	0.2	1
49	0	0.75	0.05	0.2	1
50	0	0.75	0.05	0.2	1
51	0	0.75	0.05	0.2	1
52	0	0.74	0.06	0.2	1
53	0	0.74	0.06	0.2	1
54	0	0.74	0.06	0.2	1
55	0	0.74	0.06	0.2	1
56	0	0.73	0.07	0.2	1
57	0	0.72	0.08	0.2	1
58	0	0.72	0.08	0.2	1
59	0	0.71	0.09	0.2	1
60	0	0.71	0.09	0.2	1
61	0	0.71	0.09	0.2	1
62	0	0.71	0.09	0.2	1
63	0	0.71	0.09	0.2	1
64	0	0.71	0.09	0.2	1
65	0	0.71	0.09	0.2	1
66	0	0.71	0.09	0.2	1
67	0	0.72	0.08	0.2	1
68	0	0.72	0.08	0.2	1
69	0	0.72	0.08	0.2	1
70	0	0.72	0.08	0.2	1
71	0	0.72	0.08	0.2	1
